                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                 1.3923,                 3.1892,                 2.4174,                 1.7146,                0.31422,                0.32866,                0.26413,                0.16121,                0.19359,                0.11737,                0.09658,                0.03966,                 1.3664,                 2.8012,                 2.1122,                 1.7731,                0.00604,                0.00604,                0.00604
                     82,                 1.3831,                 3.1643,                  2.404,                 1.7071,                0.31496,                0.32723,                0.26685,                 0.1641,                0.23056,                0.11831,                0.10006,                0.04128,                  1.359,                 2.7973,                 2.1051,                 1.7702,              0.0059905,              0.0059905,              0.0059905
                     83,                 1.3873,                 3.1707,                 2.4031,                 1.7094,                0.32031,                0.32905,                0.26858,                0.16604,                0.21766,                 0.1256,                0.10159,                 0.0424,                 1.3565,                 2.7946,                 2.0946,                 1.7685,               0.005941,               0.005941,               0.005941
                     84,                 1.3878,                 3.1629,                 2.3918,                 1.7086,                0.32709,                  0.325,                0.27074,                0.16687,                0.22266,                0.12109,                0.09966,                0.04189,                 1.3512,                 2.7865,                 2.0926,                 1.7639,              0.0058915,              0.0058915,              0.0058915
                     85,                 1.3871,                 3.1914,                 2.4095,                 1.7103,                0.31682,                0.32701,                0.27128,                0.16776,                0.21441,                0.12072,                0.10084,                0.04261,                 1.3521,                 2.7914,                 2.0921,                 1.7657,               0.005842,               0.005842,               0.005842
                     86,                 1.3838,                 3.1688,                 2.3856,                 1.7057,                0.32634,                0.32753,                0.27316,                0.16878,                0.21818,                0.12846,                0.10144,                0.04251,                 1.3489,                  2.788,                 2.0843,                 1.7644,              0.0057925,              0.0057925,              0.0057925
                     87,                 1.3795,                 3.1574,                 2.3617,                 1.7029,                0.32554,                0.32919,                0.27149,                0.16777,                 0.2153,                0.13041,                0.10124,                0.04189,                 1.3457,                  2.788,                 2.0852,                 1.7652,               0.005743,               0.005743,               0.005743
                     88,                 1.3706,                 3.1506,                 2.3507,                 1.6965,                 0.3183,                0.33505,                0.26932,                 0.1667,                0.20403,                0.13139,                0.10098,                0.04206,                 1.3493,                 2.7891,                 2.0746,                 1.7665,              0.0056935,              0.0056935,              0.0056935
                     89,                  1.371,                 3.1543,                  2.361,                 1.6984,                0.31576,                  0.341,                0.27389,                0.16764,                 0.2104,                0.12759,                0.10213,                0.04252,                 1.3467,                 2.7895,                 2.0749,                 1.7627,               0.005644,               0.005644,               0.005644
                     90,                 1.3774,                  3.155,                 2.3594,                 1.7029,                0.32386,                0.33345,                0.27485,                0.16843,                0.19806,                0.13256,                0.10216,                0.04211,                 1.3447,                 2.7884,                 2.0705,                 1.7634,              0.0055945,              0.0055945,              0.0055945
                     91,                 1.3711,                 3.1385,                 2.3338,                 1.6982,                0.32544,                0.34352,                 0.2746,                0.16796,                0.20316,                0.13329,                0.10092,                0.04188,                 1.3438,                 2.7852,                 2.0739,                 1.7619,               0.005545,               0.005545,               0.005545
                     92,                 1.3613,                 3.1547,                 2.3135,                 1.6878,                 0.3246,                0.33862,                0.27596,                0.16885,                0.19056,                 0.1395,                0.10278,                 0.0426,                 1.3428,                 2.7852,                 2.0702,                 1.7623,              0.0054955,              0.0054955,              0.0054955
                     93,                 1.3697,                 3.1501,                 2.3283,                 1.6937,                0.32248,                0.34509,                0.27692,                0.17053,                0.19737,                0.13175,                0.10482,                0.04341,                 1.3417,                 2.7822,                   2.07,                 1.7606,               0.005446,               0.005446,               0.005446
                     94,                 1.3696,                 3.1385,                  2.312,                  1.693,                0.30734,                 0.3375,                0.27525,                0.17023,                 0.1947,                0.13382,                0.10508,                0.04337,                 1.3404,                  2.783,                 2.0738,                 1.7618,              0.0053965,              0.0053965,              0.0053965
                     95,                 1.3682,                 3.1333,                 2.3104,                 1.6995,                0.31971,                0.32683,                0.27612,                0.17004,                 0.1963,                0.14083,                 0.1052,                  0.044,                  1.341,                 2.7837,                 2.0748,                  1.762,               0.005347,               0.005347,               0.005347
                     96,                 1.3592,                 3.1123,                 2.2798,                 1.6875,                0.33151,                0.33682,                0.27723,                0.17128,                0.20108,                0.13696,                0.10558,                0.04348,                 1.3409,                 2.7833,                 2.0674,                 1.7618,              0.0052975,              0.0052975,              0.0052975
                     97,                 1.3514,                 3.1111,                 2.2817,                  1.681,                0.32844,                0.34603,                0.27969,                0.17367,                0.21066,                0.14019,                0.10558,                0.04413,                 1.3393,                 2.7788,                 2.0597,                 1.7609,               0.005248,               0.005248,               0.005248
                     98,                 1.3475,                 3.1149,                 2.2661,                 1.6782,                0.33492,                0.34153,                0.27929,                0.17403,                0.21658,                0.13705,                0.10498,                0.04365,                 1.3384,                 2.7791,                 2.0551,                 1.7608,              0.0051985,              0.0051985,              0.0051985
                     99,                 1.3514,                 3.1042,                 2.2506,                 1.6774,                0.33384,                0.33165,                0.27883,                0.17289,                0.20551,                0.13936,                0.10504,                0.04392,                 1.3366,                 2.7765,                 2.0537,                 1.7593,               0.005149,               0.005149,               0.005149
                    100,                 1.3491,                 3.1052,                 2.2499,                 1.6818,                0.32289,                0.33761,                0.27604,                0.17162,                0.20555,                0.13724,                0.10529,                0.04438,                 1.3371,                 2.7779,                 2.0563,                 1.7593,              0.0050995,              0.0050995,              0.0050995
                    101,                 1.3485,                 3.1021,                 2.2369,                 1.6754,                0.32695,                0.34489,                 0.2749,                0.17086,                0.20495,                0.13699,                0.10503,                0.04441,                 1.3337,                 2.7773,                 2.0545,                 1.7567,                0.00505,                0.00505,                0.00505
                    102,                 1.3468,                  3.107,                 2.2478,                 1.6758,                0.33129,                0.33784,                0.27437,                0.17084,                0.20754,                0.13608,                0.10382,                0.04422,                 1.3309,                  2.779,                 2.0565,                 1.7547,              0.0050005,              0.0050005,              0.0050005
