                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                  1.376,                 2.9458,                 2.2138,                 1.7037,                0.31692,                0.34634,                0.27133,                0.16404,                0.20337,                0.12495,                 0.0948,                0.03924,                 1.3043,                  2.478,                  1.998,                 1.7743,               0.005545,               0.005545,               0.005545
                     92,                 1.3865,                 2.9626,                 2.2487,                   1.71,                0.32029,                0.35216,                0.27303,                0.16541,                0.21891,                0.12363,                0.09491,                0.03936,                 1.3046,                 2.4763,                 1.9901,                 1.7724,              0.0054955,              0.0054955,              0.0054955
                     93,                  1.381,                 2.9467,                 2.2235,                 1.7034,                0.31403,                0.35216,                0.27491,                0.16715,                0.21586,                0.12543,                 0.0969,                0.04038,                  1.308,                 2.4763,                 1.9892,                 1.7745,               0.005446,               0.005446,               0.005446
                     94,                 1.3757,                 2.9615,                 2.2102,                 1.6974,                0.31572,                0.34741,                 0.2762,                0.16726,                0.20636,                0.12669,                0.09717,                0.04006,                 1.3095,                 2.4732,                 1.9843,                 1.7758,              0.0053965,              0.0053965,              0.0053965
                     95,                  1.366,                 2.9298,                 2.1913,                 1.6931,                0.31132,                0.34631,                0.27771,                0.16911,                0.21029,                0.12753,                0.09748,                0.04035,                 1.3058,                 2.4671,                 1.9784,                 1.7739,               0.005347,               0.005347,               0.005347
                     96,                 1.3699,                 2.9519,                 2.1741,                 1.6916,                0.31257,                0.34995,                0.27865,                0.17093,                0.21462,                0.12416,                 0.0987,                0.04118,                 1.3049,                 2.4656,                 1.9729,                 1.7717,              0.0052975,              0.0052975,              0.0052975
                     97,                 1.3587,                 2.9435,                  2.171,                 1.6824,                0.30757,                0.35616,                0.27968,                0.17141,                0.20995,                0.12796,                0.09977,                0.04134,                 1.3008,                 2.4639,                 1.9698,                 1.7686,               0.005248,               0.005248,               0.005248
                     98,                 1.3685,                 2.9285,                 2.1702,                 1.6949,                 0.3015,                0.36067,                0.28174,                0.17308,                0.20075,                0.13181,                0.10146,                0.04174,                 1.3005,                 2.4628,                 1.9719,                 1.7694,              0.0051985,              0.0051985,              0.0051985
                     99,                 1.3647,                 2.9344,                   2.17,                 1.6858,                0.30527,                0.35677,                0.27838,                0.17025,                0.19923,                 0.1312,                0.10064,                0.04153,                 1.3027,                 2.4628,                 1.9802,                 1.7709,               0.005149,               0.005149,               0.005149
                    100,                 1.3601,                  2.911,                 2.1494,                 1.6865,                0.30254,                0.35838,                0.27592,                0.16816,                0.17862,                0.13344,                0.09834,                0.04079,                 1.3006,                 2.4643,                 1.9823,                 1.7706,              0.0050995,              0.0050995,              0.0050995
