                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                 1.4007,                 2.8818,                 2.3638,                 1.7268,                0.26113,                0.34007,                0.23557,                0.13901,                0.14439,                 0.1036,                0.06467,                0.02556,                 1.3069,                 2.3657,                 2.0771,                 1.7833,               0.005644,               0.005644,               0.005644
                     90,                 1.4036,                 2.8838,                 2.3529,                  1.732,                0.27741,                0.33934,                0.24148,                0.14256,                0.17093,                0.09842,                0.06753,                0.02697,                 1.3072,                 2.3688,                  2.061,                 1.7846,              0.0055945,              0.0055945,              0.0055945
                     91,                  1.388,                 2.8587,                 2.3132,                 1.7196,                0.27322,                0.34476,                  0.244,                0.14526,                0.15733,                0.10631,                0.07131,                0.02846,                 1.3114,                 2.3666,                 2.0484,                  1.784,               0.005545,               0.005545,               0.005545
                     92,                 1.3978,                 2.8673,                 2.3545,                  1.727,                0.27722,                0.34853,                0.25018,                0.14991,                0.15658,                0.10591,                0.07318,                0.02936,                 1.3074,                 2.3615,                 2.0417,                 1.7814,              0.0054955,              0.0054955,              0.0054955
                     93,                  1.395,                 2.8559,                 2.3177,                 1.7234,                0.28812,                0.33984,                0.25203,                0.15129,                0.17184,                0.10442,                0.07376,                0.02979,                 1.3018,                  2.357,                 2.0366,                 1.7773,               0.005446,               0.005446,               0.005446
                     94,                 1.3849,                 2.8755,                 2.3075,                 1.7122,                0.28791,                 0.3427,                0.25302,                0.15259,                0.18602,                0.10527,                0.07402,                0.02974,                 1.2969,                 2.3525,                 2.0361,                 1.7717,              0.0053965,              0.0053965,              0.0053965
                     95,                 1.3798,                 2.8346,                   2.28,                 1.7101,                 0.3006,                0.33985,                0.25323,                0.15353,                0.18022,                0.10591,                0.07422,                0.02971,                 1.2927,                 2.3512,                 2.0318,                 1.7714,               0.005347,               0.005347,               0.005347
                     96,                 1.3819,                  2.857,                 2.2698,                 1.7108,                 0.3118,                 0.3452,                0.25683,                 0.1559,                0.18662,                0.10591,                0.07535,                0.03017,                 1.2913,                 2.3503,                 2.0255,                 1.7709,              0.0052975,              0.0052975,              0.0052975
                     97,                 1.3736,                 2.8592,                 2.2737,                 1.7057,                0.31251,                0.35049,                0.25765,                0.15634,                0.18092,                0.10727,                0.07563,                0.03011,                 1.2896,                 2.3483,                 2.0193,                 1.7697,               0.005248,               0.005248,               0.005248
                     98,                 1.3833,                 2.8407,                 2.2694,                 1.7115,                0.30212,                 0.3537,                0.25704,                0.15572,                0.17846,                0.10737,                 0.0738,                 0.0299,                 1.2885,                 2.3499,                  2.019,                   1.77,              0.0051985,              0.0051985,              0.0051985
                     99,                 1.3772,                 2.8449,                 2.2607,                 1.7024,                0.29961,                0.35413,                0.25474,                0.15386,                0.17195,                0.10898,                0.07408,                0.02977,                 1.2914,                 2.3528,                 2.0222,                 1.7719,               0.005149,               0.005149,               0.005149
                    100,                 1.3685,                 2.8261,                 2.2318,                    1.7,                0.30421,                  0.353,                0.25633,                0.15406,                0.17295,                0.11135,                0.07409,                0.02956,                   1.29,                 2.3538,                 2.0209,                  1.773,              0.0050995,              0.0050995,              0.0050995
                    101,                 1.3691,                 2.8367,                 2.2383,                 1.6964,                0.31059,                0.34269,                0.25522,                0.15364,                0.17628,                0.10855,                0.07365,                0.02951,                 1.2874,                 2.3527,                 2.0227,                 1.7723,                0.00505,                0.00505,                0.00505
                    102,                  1.369,                  2.847,                 2.2192,                 1.6917,                 0.3086,                0.34585,                0.25343,                0.15287,                0.18425,                0.10986,                0.07321,                0.02961,                 1.2876,                 2.3543,                 2.0251,                 1.7736,              0.0050005,              0.0050005,              0.0050005
